"","mod.alb.jan","mod.alb.feb","mod.alb.mar","mod.alb.apr","mod.alb.may","mod.alb.jun","mod.alb.jul","mod.alb.aug","mod.alb.sep","mod.alb.oct","mod.alb.nov","mod.alb.dec","convert.code","Lat","Lon"
"7384",0.2660025,0.261165,0.201265,0.13476,0.133165,0.1538,0.15294,0.14523,0.13548,0.12494,0.11952,0.18504,3,45.91556266,-91.82615442
"7389",0.2657,0.259975,0.2090725,0.13158,0.1332825,0.15377,0.1529,0.1453925,0.13582,0.125086666666667,0.1212275,0.1867725,3,45.95268232,-91.31223155
"7407",0.2623275,0.2566725,0.2102175,0.131916666666667,0.1338675,0.1537425,0.152765,0.14609,0.13782,0.12608,0.122005,0.1852125,3,46.0673483,-89.45692002
"7424",0.1963175,0.21555,0.1834475,0.13192,0.1343625,0.15375,0.1528425,0.146095,0.139035,0.12754,0.1196275,0.1560125,3,46.14826914,-87.69854102
"7525",0.2647325,0.2613025,0.2064275,0.133156666666667,0.133185,0.1538475,0.15301,0.145205,0.135455,0.12498,0.119645,0.178845,3,45.84412461,-91.81516562
"7558",0.2503075,0.259705,0.2116875,0.13577,0.1341725,0.153775,0.152805,0.1460825,0.13867,0.127183333333333,0.1198125,0.1593725,3,46.04648157,-88.41653088
"7571",0.2443025,0.25814,0.203285,0.131846666666667,0.1345425,0.1538375,0.153,0.146035,0.1391125,0.127586666666667,0.1213525,0.153575,3,46.09869338,-87.07189587
"7582",0.25607,0.261805,0.2153825,0.13228,0.1349575,0.1539575,0.1531975,0.146035,0.1395525,0.1275,0.122345,0.173145,3,46.13067419,-85.93242259
"7679",0.2471775,0.2586825,0.2067525,0.131113333333333,0.1335525,0.153825,0.1529575,0.1456275,0.13642,0.125453333333333,0.1212475,0.1533325,3,45.86420475,-90.47002708
"7704",0.226865,0.246135,0.1998925,0.131616666666667,0.134305,0.1538125,0.152905,0.146005,0.138765,0.127533333333333,0.1198725,0.1572225,3,45.99668385,-87.89368223
"7797",0.2391625,0.2600375,0.184635,0.132203333333333,0.1331125,0.15404,0.1532425,0.145065,0.1354975,0.125056666666667,0.1193575,0.1740525,3,45.62046849,-92.81510696
"7845",0.20351,0.2605625,0.201355,0.131316666666667,0.134305,0.153845,0.1529475,0.14596,0.1386675,0.12756,0.1197725,0.15547,3,45.924958,-87.88771477
"7962",0.2431025,0.2585225,0.2051625,0.13093,0.133625,0.15391,0.1530625,0.1455975,0.1363625,0.12554,0.1209275,0.16653,3,45.72747285,-90.34901078
"7986",0.2207775,0.2578875,0.184395,0.13123,0.1343,0.1538775,0.152985,0.1459175,0.138575,0.127596666666667,0.11992,0.1576225,3,45.85323134,-87.88176261
"8123",0.2105175,0.25611,0.2063325,0.1309,0.134185,0.153895,0.1529725,0.1458925,0.1383425,0.127446666666667,0.12074,0.15291,3,45.76423457,-88.28724232
"8247",0.216685,0.2580975,0.2082,0.130633333333333,0.1337575,0.1539875,0.153135,0.145645,0.1365225,0.125753333333333,0.11962,0.1602575,3,45.60289189,-90.02389986
"8250",0.25238,0.2577475,0.2079175,0.130483333333333,0.133845,0.1539825,0.153095,0.145745,0.1368475,0.12594,0.1211625,0.1729575,3,45.62062864,-89.71671028
"8264",0.207185,0.2517175,0.201955,0.130803333333333,0.134175,0.153925,0.15301,0.1458425,0.1382525,0.127493333333333,0.119775,0.15233,3,45.69252781,-88.2807967
"8266",0.20091,0.2481175,0.1900375,0.131056666666667,0.1342275,0.1539275,0.15303,0.145835,0.1383275,0.127606666666667,0.1195375,0.155835,3,45.70133477,-88.07538189
"8267",0.20766,0.2545775,0.17936,0.130986666666667,0.1342525,0.15393,0.153045,0.1458325,0.138365,0.127636666666667,0.11934,0.1580575,3,45.70560078,-87.97265064
