"","d.alb.jan","d.alb.feb","d.alb.mar","d.alb.apr","d.alb.may","d.alb.jun","d.alb.jul","d.alb.aug","d.alb.sep","d.alb.oct","d.alb.nov","d.alb.dec","convert.code","Lat","Lon"
"6254",0.049495,0.0415025,0.05281,0.0289346666666667,0.05113825,0.06592625,0.05994,0.0569465,0.05188825,0.0414426666666667,0.0087885,0.0256075,3,46.47137273,-92.12255608
"6258",0.0391325,0.0387725,0.04799,0.028818,0.05123075,0.06590125,0.0599125,0.057109,0.05226575,0.0415853333333333,0.0071305,0.0075175,3,46.5022978,-91.70750053
"6259",0.04652,0.0352375,0.0470625,0.028798,0.05125325,0.06589625,0.059905,0.057149,0.05236575,0.0416133333333333,0.00823275,0.00965000000000001,3,46.50979847,-91.60366498
"6260",0.0438425,0.0346375,0.053105,0.028768,0.05127825,0.06588875,0.0599,0.0571915,0.05247575,0.0416826666666667,0.007431,0.0100575,3,46.51720681,-91.49980144
"6262",0.03977,0.0357925,0.053805,0.0287113333333333,0.05132825,0.06587875,0.05989,0.057279,0.05269075,0.0417693333333333,0.0073485,0.0062525,3,46.5317464,-91.29199172
"6279",0.05063,0.0327125,0.037,0.028068,0.05187825,0.06589125,0.0598425,0.0579715,0.05481825,0.04264,-0.00922425,-0.00547,3,46.64037821,-89.52152494
"6281",0.0507366666666667,0.032905,0.0392925,0.0284213333333333,0.05194825,0.06589375,0.05984,0.0580215,0.05505575,0.0429793333333333,0.00450566666666667,-0.0181566666666667,3,46.65139476,-89.31279962
"6282",0.047645,0.0346025,0.0442425,0.0284346666666667,0.05198575,0.06589875,0.05984,0.058039,0.05517075,0.0430643333333333,0.00528175,0.00325499999999999,3,46.65676349,-89.20840606
"6403",0.0469975,0.0414875,0.0527925,0.0286646666666667,0.05134325,0.06592125,0.0599625,0.0572315,0.05258075,0.041766,0.006911,0.007775,3,46.46025991,-91.28157017
"6408",0.0304733333333333,0.033495,0.043155,0.0285446666666667,0.05148825,0.06591375,0.0599425,0.0574465,0.05316075,0.042016,0.0069035,0.01045,3,46.49494569,-90.76224513
"6409",0.026495,0.0386375,0.0461925,0.028518,0.05151825,0.06591125,0.0599375,0.057489,0.05327575,0.0420693333333333,0.007371,0.0195025,3,46.50160552,-90.65830319
"6539",0.0468475,0.0386025,0.047305,0.0287446666666667,0.05123075,0.06599375,0.0600725,0.056974,0.05197575,0.0415593333333333,0.0079235,0.02605,3,46.35182711,-91.78916721
"6540",0.0462625,0.0375575,0.0464475,0.0287146666666667,0.05125325,0.06598625,0.0600625,0.057014,0.05207075,0.0415926666666667,0.0073885,0.022515,3,46.35940043,-91.68562443
"6542",0.0469575,0.0384725,0.0477425,0.028658,0.05130325,0.06597375,0.06005,0.0570965,0.05226325,0.0416733333333333,0.0067985,0.00919500000000001,3,46.37427088,-91.47845485
"6547",0.0454725,0.0337425,0.0432225,0.0285213333333333,0.05143825,0.06595375,0.060025,0.057309,0.05280075,0.041896,0.007786,0.0116725,3,46.40983423,-90.96005646
"6568",0.04623,0.0423,0.04455,0.0283846666666667,0.05215575,0.06598375,0.0599775,0.057959,0.05528825,0.043402,0.009756,0.0205266666666667,3,46.53395567,-88.77624079
"6665",0.050665,0.0388175,0.0510025,0.029248,0.05096075,0.06619375,0.0602875,0.056514,0.05116575,0.041226,0.0074785,0.0295675,3,46.15592781,-93.32572174
"6678",0.0530125,0.0491775,0.0537775,0.0287646666666667,0.05119575,0.06605375,0.06016,0.0568565,0.05172325,0.041496,0.007241,0.024385,3,46.26498419,-91.98487648
"6679",0.053715,0.0451475,0.05145,0.028728,0.05122325,0.06604375,0.0601525,0.0568915,0.05180575,0.0415293333333333,0.007661,0.0270675,3,46.27273151,-91.88152241
"6683",0.04661,0.0461775,0.04407,0.0286046666666667,0.05131825,0.06601875,0.060125,0.0570515,0.05216325,0.0416793333333333,0.00670600000000001,0.0065525,3,46.30280182,-91.46782278
"6817",0.05083,0.049325,0.0523625,0.0287913333333333,0.05117075,0.06611375,0.06025,0.0567515,0.05152075,0.041456,0.007111,0.0235175,3,46.17781302,-92.17997366
"6834",0.05135,0.0339625,0.04738,0.0282446666666667,0.05161825,0.06603625,0.0601425,0.057424,0.05315325,0.042146,0.0068035,0.014925,3,46.29997361,-90.42242346
"6845",0.043735,0.038065,0.0483925,0.0280013333333333,0.05201075,0.06605625,0.0600975,0.0578165,0.05455825,0.042946,0.00757850000000001,-0.00701,3,46.36482569,-89.2814024
"6956",0.0476225,0.0484925,0.0527,0.0287946666666667,0.05114575,0.06617625,0.0603425,0.0566615,0.05137325,0.041436,0.0081985,0.02548,3,46.09031493,-92.37445933
"6957",0.04817,0.0496275,0.051915,0.028758,0.05116325,0.06616875,0.0603325,0.056689,0.05142325,0.041456,0.007396,0.023555,3,46.09840854,-92.27148431
"6958",0.04494,0.038615,0.0471925,0.028748,0.05118575,0.06615875,0.0603275,0.056719,0.05147075,0.041476,0.006926,0.0228125,3,46.10641067,-92.16847954
