"","d.alb.jan","d.alb.feb","d.alb.mar","d.alb.apr","d.alb.may","d.alb.jun","d.alb.jul","d.alb.aug","d.alb.sep","d.alb.oct","d.alb.nov","d.alb.dec","convert.code","Lat","Lon"
"7571",0.0356675,0.0383475,0.0490625,0.0285413333333333,0.05267325,0.06630375,0.060575,0.057529,0.05513325,0.0442726666666667,0.008326,0.009425,3,46.09869338,-87.07189587
"7582",0.04367,0.0361825,0.0413725,0.028768,0.05308825,0.06642375,0.0607725,0.057529,0.05557325,0.044186,0.0050435,0.0153125,3,46.13067419,-85.93242259
"7593",0.0338475,0.020235,0.0458225,0.0225466666666667,0.0310445,0.023875,0.0236775,0.02424,0.02226,0.0263066666666667,0.00941750000000001,0.020265,-1,46.15145243,-84.79186928
"7655",0.0399875,0.0160475,0.0352,0.0170933333333333,0.0278125,0.02734,0.0236625,0.0281525,0.02498,0.0229933333333333,0.0084475,0.0165975,-1,45.68322107,-92.92946991
"7666",0.0318775,0.01543,0.0300575,0.01811,0.0281825,0.025715,0.02195,0.0257875,0.02372,0.02323,0.0086275,0.0085575,-1,45.77268489,-91.80420483
"7672",0.03351,0.01281,0.0303375,0.0183366666666667,0.0281025,0.025405,0.021605,0.0246075,0.0233,0.0234266666666667,0.0074875,0.0124325,-1,45.816842,-91.18897351
"7673",0.0288525,0.0124075,0.0347375,0.0183766666666667,0.0280575,0.0253375,0.02157,0.02443,0.02323,0.0234533333333333,0.008065,0.00834750000000001,-1,45.82388222,-91.08634218
"7675",0.035805,0.01172,0.03486,0.0184233333333333,0.0279625,0.025175,0.021505,0.02405,0.02308,0.02352,0.00752,0.0149,-1,45.83768869,-90.88100291
"7676",0.0396175,0.011615,0.03664,0.0184466666666667,0.0279,0.0250475,0.0214575,0.0238625,0.023015,0.0235566666666667,0.0076075,0.0137725,-1,45.84445486,-90.77829562
"7677",0.0320875,0.01148,0.03858,0.01846,0.0278375,0.024885,0.021395,0.0236525,0.0229425,0.0235933333333333,0.0075825,0.01362,-1,45.85112962,-90.67556367
"7678",0.03987,0.0115725,0.0375875,0.0184766666666667,0.0277725,0.0247425,0.0213425,0.0234475,0.022875,0.0236366666666667,0.00807,0.0121675,-1,45.85771292,-90.57280738
"7679",0.04326,0.0329975,0.0529825,0.0278446666666667,0.05168325,0.06629125,0.0605325,0.0571215,0.05244075,0.0421393333333333,0.00757850000000001,0.00841749999999999,3,45.86420475,-90.47002708
"7695",0.0311833333333333,0.0132766666666667,0.02806,0.0190233333333333,0.028276,0.023645,0.02121,0.0215925,0.0228075,0.0250933333333333,0.0078675,0.0133875,-1,45.95560789,-88.82254555
"7696",0.0332175,0.016535,0.038,0.01955,0.0283975,0.0236425,0.02122,0.021565,0.0227525,0.02524,0.008455,0.012395,-1,45.96054004,-88.71940756
"7698",0.0308025,0.0191675,0.03345,0.0195233333333333,0.02866175,0.0236275,0.0212025,0.0215225,0.022605,0.0255233333333333,0.0080275,0.0134125,-1,45.97012836,-88.51307779
"7702",0.0307625,0.0238425,0.0405875,0.0203433333333333,0.0292025,0.023595,0.0211825,0.0215625,0.02225,0.0259533333333333,0.0082125,0.0108775,-1,45.98820044,-88.10021243
"7704",0.0378525,0.0399725,0.04965,0.0281446666666667,0.05243575,0.06627875,0.06048,0.057499,0.05478575,0.0442193333333333,0.00744225,0.0124725,3,45.99668385,-87.89368223
"7796",0.0467525,0.01841,0.0359525,0.0174366666666667,0.02802,0.0276675,0.0243925,0.02855,0.02525,0.02316,0.00838750000000001,0.020375,-1,45.61189219,-92.9171253
"7797",0.044365,0.0491175,0.0437825,0.0289346666666667,0.05124325,0.06650625,0.0608175,0.056559,0.05151825,0.0417426666666667,0.006861,0.0252425,3,45.62046849,-92.81510696
"7814",0.0360775,0.014105,0.037195,0.01848,0.028055,0.02524,0.0217075,0.02457,0.0232625,0.0235233333333333,0.00748,0.01458,-1,45.75237602,-91.07631445
"7815",0.0377,0.0130775,0.037725,0.01849,0.0280125,0.02518,0.0216725,0.02441,0.02319,0.0235533333333333,0.0074925,0.0133275,-1,45.75931614,-90.97378718
"7819",0.042115,0.01213,0.0376125,0.01853,0.02778,0.0247225,0.0214375,0.02362,0.022895,0.0236833333333333,0.00825,0.0179375,-1,45.78616388,-90.56342914
"7820",0.0419025,0.0120075,0.03801,0.0185266666666667,0.0277175,0.02458,0.0213725,0.023415,0.0228325,0.0237233333333333,0.008525,0.0156975,-1,45.79264747,-90.46077902
"7821",0.035265,0.0120525,0.0365475,0.0185233333333333,0.0276625,0.0244275,0.0213125,0.023215,0.0227825,0.0237666666666667,0.007945,0.00930499999999999,-1,45.79903966,-90.3581053
"7822",0.03245,0.0120625,0.035945,0.01852,0.02761,0.02428,0.021255,0.0230275,0.0227425,0.02381,0.00796,0.0144675,-1,45.80534043,-90.25540832
"7823",NA,0.0123,0.0325975,0.0185066666666667,0.0275675,0.0241325,0.0212025,0.0228375,0.022705,0.0238566666666667,0.0077675,0.0110775,-1,45.81154972,-90.1526884
"7827",0.02647,0.012665,0.017735,0.0186566666666667,0.02753,0.02373,0.021115,0.0222525,0.02267,0.0241,0.00686499999999999,0.0110775,-1,45.8354717,-89.74158589
"7828",0.0294675,0.0128425,0.019335,0.01845,0.0275625,0.0237075,0.021135,0.0221675,0.0226975,0.0241833333333333,0.008165,0.0172425,-1,45.84122325,-89.63875621
"7836",0.0465333333333333,0.018705,0.0247625,0.0188766666666667,0.02825775,0.0236825,0.021175,0.0217375,0.0227925,0.0251566666666667,0.0080925,0.01361,-1,45.88393444,-88.81539179
