"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"80",-8.98328736347513e-07,-1.20336227580018e-06,-1.77903465027707e-06,-5.87611916251026e-08,-1.12946218675503e-05,-1.86491150872457e-05,-2.27066245169686e-05,-2.19363301231756e-05,-1.54116893937594e-05,-7.1780747122314e-06,-3.2222342468687e-06,-1.96979838751355e-06
"81",-4.03413648018076e-07,-4.78844629450184e-07,-9.84277114573831e-07,2.79519118125849e-07,-5.69430260076505e-06,-7.58624878911557e-06,-8.00003468725122e-06,-7.0083275496743e-06,-5.91837810069502e-06,-4.2921812169763e-06,-2.27099840330937e-06,-1.21399452298382e-06
"82",1.57066992855636e-07,3.48144845407111e-07,2.09602559965977e-07,7.55593018476832e-07,-3.44911834956758e-07,1.08040834204003e-06,3.57711652294504e-08,1.64622099828406e-06,2.76389321960411e-07,-9.25469537921181e-07,5.00761295832372e-08,-6.4491265764815e-08
"83",1.84229300977963e-07,3.32231628373385e-07,2.85164917719707e-07,1.72793253323666e-07,2.34656705778991e-06,5.04762737627523e-06,6.28120657885225e-06,6.07534980478022e-06,3.62400885650725e-06,7.97987059051126e-07,2.58495445232313e-07,2.17457373475242e-07
"84",1.53775037252246e-09,1.59737329814918e-09,2.63964215423133e-09,3.51263315613905e-09,1.88318515845416e-08,3.83103675696733e-08,4.64991920093205e-08,4.36284464277195e-08,2.65862504811907e-08,7.94623009183003e-09,2.66657425245219e-09,2.20386317718528e-09
"85",9.10266776751341e-08,1.76462120028496e-07,1.46289421028778e-07,2.44393955485021e-07,1.28161545694039e-06,2.75788341533881e-06,3.43000207046965e-06,3.28059902307215e-06,1.9478685961593e-06,4.29263610818354e-07,1.28933314783515e-07,1.12186494828046e-07
"86",1.44015441964426e-07,2.93678177834975e-07,2.16425702587648e-07,4.71857817453227e-07,1.9737149538317e-06,4.47572063600542e-06,5.62955274681596e-06,5.46357207175102e-06,3.16263677655811e-06,5.57626133468702e-07,1.29552465565398e-07,1.44041322617879e-07
"87",3.0902555769207e-07,5.42580459315367e-07,5.5369349199207e-07,4.50710018179803e-07,4.29657438851046e-06,8.41857443295931e-06,1.01593991504801e-05,9.58893237343037e-06,6.00094482681908e-06,1.84167848231333e-06,7.42469218924726e-07,5.02893248641213e-07
"88",6.44403308063544e-08,2.07190362913646e-07,8.11727952016087e-08,4.90739518293186e-07,1.26341099357125e-06,3.3037564101447e-06,3.91052439993135e-06,3.53195318486552e-06,1.8016572580989e-06,-2.53327516060346e-08,-9.01161147892518e-08,-1.07651770579432e-08
"89",-9.48344725554962e-08,-1.17568819738005e-07,-1.62674599685203e-07,-1.45627932344354e-08,-1.01650575019234e-06,-1.80554065863763e-06,-2.45791841769714e-06,-2.55013529375479e-06,-1.72339713219038e-06,-6.67626543586846e-07,-2.45062583120712e-07,-1.75751831440089e-07
"90",-1.70003533464644e-08,7.87190056414488e-08,-1.48577515532749e-07,4.35647709736493e-07,-2.55167267199254e-07,1.12517519135865e-06,1.92951720882193e-06,2.09483085349843e-06,6.17529015990045e-07,-9.3593121470625e-07,-6.32867077831549e-07,-2.77908058145414e-07
"91",-1.88732849277543e-07,-2.63852937589133e-07,-4.05755384128943e-07,-5.03388233519137e-08,-2.60555779997721e-06,-4.13269343870662e-06,-4.75849248237946e-06,-4.39818156483818e-06,-3.18011727473598e-06,-1.65199154206683e-06,-7.97941665854712e-07,-4.59063292943839e-07
"92",1.13785238962819e-07,2.07390460546657e-07,2.91783627928179e-07,1.43754143448188e-07,2.07566562174587e-06,3.28949522536965e-06,3.27124156401822e-06,2.61071838081503e-06,1.90194615008254e-06,1.10888085049276e-06,6.30050106820423e-07,3.20846246122921e-07
"93",1.19139514195574e-07,2.40592487221888e-07,4.31172482157689e-07,1.09554229713375e-07,2.94566174272458e-06,3.92356535753298e-06,2.88540567969092e-06,1.4569276890572e-06,1.5245566339769e-06,1.7113807774545e-06,1.15654960722363e-06,5.17083360311714e-07
"94",-2.74255568986758e-07,-3.61596020709306e-07,-7.66518802389349e-07,1.59707764319374e-07,-4.57975884553076e-06,-5.82774707064625e-06,-5.30540993691523e-06,-3.96503024478337e-06,-3.7284848594517e-06,-3.3036725889805e-06,-1.91347612145141e-06,-9.55877921484003e-07
"95",6.2270342438154e-07,8.87712579412842e-07,1.62346975395306e-06,-3.80053574582996e-08,1.01644145074607e-05,1.41757301260406e-05,1.39171083957121e-05,1.11903124510604e-05,9.27172939391425e-06,6.78404113249271e-06,3.79927835686632e-06,1.94872729931622e-06
"96",-8.29683031663698e-08,-8.69040258589263e-08,-3.89168367831341e-07,3.62760398514133e-07,-1.95454663912898e-06,-1.42287657826441e-06,-4.23587639539408e-07,3.93425254498717e-07,-7.10030894306388e-07,-1.8559375558644e-06,-1.18420585508417e-06,-5.30683125133325e-07
"97",-2.30430232292266e-07,-3.36551663138201e-07,-5.89847085864341e-07,-1.93713220649102e-08,-3.73676523987035e-06,-5.34530601255402e-06,-5.34830382852039e-06,-4.37255303921969e-06,-3.51539243864618e-06,-2.43417545971704e-06,-1.34744606189112e-06,-6.97495153630362e-07
"98",-6.23573639633457e-08,-2.22959575285325e-08,-2.47176099825548e-07,3.02831496989675e-07,-1.08167962691968e-06,-4.43370480021262e-07,2.27979231539427e-07,6.38982554575807e-07,-2.88155156370654e-07,-1.2434282730957e-06,-7.8919062927974e-07,-3.6575682561764e-07
"99",-2.50325467806437e-07,-3.18730146417874e-07,-6.84669534244773e-07,1.89408308431814e-07,-4.32198347131997e-06,-5.59647018956472e-06,-5.53593822981541e-06,-4.2452791969322e-06,-3.81761217813993e-06,-3.12451953596037e-06,-1.69056169968137e-06,-8.74648330860355e-07
